mission_time_S,MOOStime_S,metric_total_dist_M,metric_mean_dist_M,deploy
start_MOOStime_S
8621330050.751041
5.585813522338867,8621330056.336855,0,0,0
10.60075759887695,8621330061.351799,0,0,0
15.60970687866211,8621330066.360748,0,0,0
20.61845397949219,8621330071.369495,3440.090961,312.7355419,0
25.62535667419434,8621330076.376392,6254.868972,390.9293107,0
30.64517211914062,8621330081.396214,7997.735784,420.9334623,0
35.65637969970703,8621330086.407421,8611.280317,430.5640159,0
40.66603660583496,8621330091.417078,8611.260191,430.5630095,0
45.67159080505371,8621330096.422632,8611.252446,430.5626223,0
50.67766571044922,8621330101.428707,8611.253343,430.5626672,0
55.80224990844727,8621330106.553291,8611.253869,430.5626935,1
60.81143188476562,8621330111.562473,8611.354863,430.5677431,1
65.81831359863281,8621330116.569355,8611.269857,430.5634928,1
70.89857292175293,8621330121.649614,8611.357394,430.5678697,1
75.9718074798584,8621330126.722849,8610.693348,430.5346674,1
80.9793586730957,8621330131.7304,8607.823858,430.3911929,1
85.99145889282227,8621330136.7425,8597.571465,429.8785733,1
90.99943542480469,8621330141.750477,8580.851618,429.0425809,1
96.01170539855957,8621330146.762747,8553.364484,427.6682242,1
101.1035442352295,8621330151.854586,8516.336809,425.8168405,1
106.1100997924805,8621330156.861141,8491.10255,424.5551275,1
111.1160202026367,8621330161.867062,8463.167188,423.1583594,1
116.1223239898682,8621330166.873365,8442.90048,422.145024,1
121.1283226013184,8621330171.879364,8417.755045,420.8877523,1
126.1390552520752,8621330176.890097,8396.411339,419.820567,1
131.1475372314453,8621330181.898571,8377.747312,418.8873656,1
136.1716251373291,8621330186.922667,8338.124017,416.9062009,1
141.1921424865723,8621330191.943184,8303.948201,415.19741,1
146.2074108123779,8621330196.958452,8244.407444,412.2203722,1
151.2496128082275,8621330202.000654,8187.490649,409.3745324,1
156.7761154174805,8621330207.527157,8151.496485,407.5748242,1
161.8533229827881,8621330212.604364,8114.380603,405.7190301,1
167.2224941253662,8621330217.973536,8068.296321,403.4148161,1
172.2751121520996,8621330223.026154,8039.84166,401.992083,1
177.3389625549316,8621330228.089996,7998.770658,399.9385329,1
182.3889656066895,8621330233.140007,7975.242363,398.7621181,1
187.4626789093018,8621330238.21372,7947.137061,397.3568531,1
192.4712982177734,8621330243.22234,7906.529626,395.3264813,1
197.5202388763428,8621330248.27128,7880.873002,394.0436501,1
202.5264282226562,8621330253.27747,7846.570131,392.3285066,1
207.5793895721436,8621330258.330431,7820.689955,391.0344977,1
212.7572326660156,8621330263.508274,7766.682555,388.3341278,1
217.7692127227783,8621330268.520254,7732.017922,386.6008961,1
222.7785701751709,8621330273.529612,7675.87705,383.7938525,1
227.8267669677734,8621330278.577803,7640.738549,382.0369275,1
232.8871116638184,8621330283.638153,7594.060022,379.7030011,1
237.9187774658203,8621330288.669819,7570.652736,378.5326368,1
242.925407409668,8621330293.676449,7523.446203,376.1723101,1
247.9574012756348,8621330298.708443,7495.282237,374.7641119,1
252.9644622802734,8621330303.715504,7455.753779,372.787689,1
257.9712944030762,8621330308.722336,7431.006794,371.5503397,1
262.9802436828613,8621330313.731285,7396.206118,369.8103059,1
268.0506057739258,8621330318.801647,7359.39297,367.9696485,1
273.1741847991943,8621330323.925226,7325.627788,366.2813894,1
278.203426361084,8621330328.954468,7297.283331,364.8641665,1
283.2322311401367,8621330333.983273,7281.020615,364.0510308,1
288.2444496154785,8621330338.995491,7253.098625,362.6549312,1
293.2504425048828,8621330344.001484,7214.059125,360.7029562,1
298.2599258422852,8621330349.010967,7181.429056,359.0714528,1
303.3138694763184,8621330354.064911,7158.567227,357.9283613,1
308.4263076782227,8621330359.177349,7145.901615,357.2950807,1
313.4496231079102,8621330364.200665,7121.217497,356.0608749,1
