mission_time_S,MOOStime_S,x_M,y_M,depth_M,heading_DEG,speed_M/S,drift_x_M/S,drift_y_M/S,consum_nominal_WH,consum_propulsion_WH,consum_communication_WH,consum_total_WH,duration_estimation_DAYS,time_drifting_S,time_thrusting_S,time_drifting_ratio_%,distance_drifting_M,distance_thrusting_M,distance_total_M,distance_drifting_ratio_%,deploy
start_MOOStime_S
11494620543.45246
5.612945556640625,11494620549.06541,46,96,100,290.6010708,0,0,0,0.003586678505,0.1543349711,0,0.1579216496,0.4260669916,0,0,0,0,0,0,-nan,0
10.63011360168457,11494620554.08258,46,96,100,340.550125,0,0,0,0.005690834522,0.2689290365,0,0.274619871,0.3334180831,0,0,0,0,0,0,-nan,0
15.64270401000977,11494620559.09517,46,96,100,341.0104135,0,0,0,0.007722185453,0.2689290365,0,0.2766512219,0.462972871,0,0,0,0,0,0,-nan,0
20.65499305725098,11494620564.10746,46,96,100,341.8581123,0,0,0,0.00993697087,0.2689290365,0,0.2788660073,0.5461064309,0,0,0,0,0,0,-nan,0
25.66611289978027,11494620569.11858,46,96,100,342.9342972,0,0,0,0.01203004281,0.2689290365,0,0.2809590793,0.6709854146,0,0,0,0,0,0,-nan,0
30.67782402038574,11494620574.13029,46,96,100,343.9740492,0,0,0,0.01412836393,0.2689290365,0,0.2830574004,0.7523741959,0,0,0,0,0,0,-nan,0
35.69913673400879,11494620579.1516,46,96,100,344.9234749,0,0,0,0.01622011185,0.2689290365,0,0.2851491483,0.8751047815,0,0,0,0,0,0,-nan,0
40.70848846435547,11494620584.16095,46,96,100,345.6615607,0,0,0,0.01831103563,0.2689290365,0,0.2872400721,0.9531605975,0,0,0,0,0,0,-nan,0
45.71957778930664,11494620589.17204,46,96,100,346.151595,0,0,0,0.02040140788,0.2689290365,0,0.2893304443,1.072047738,0,0,0,0,0,0,-nan,0
50.72979354858398,11494620594.18226,46,96,100,346.5125847,0,0,0,0.02228364786,0.2689290365,0,0.2912126843,1.148324328,0,0,0,0,0,0,-nan,0
55.74237632751465,11494620599.19484,45.90587547,96.07096833,100,346.9870666,0,-0.04075069504,0.03076999749,0.02437496344,0.2689290365,0,0.2933039999,1.263571901,0,0,0,0.1178810052,0,0.1178810052,1,0
60.75232124328613,11494620604.20478,45.6998278,96.22664944,100,347.4939511,0,-0.04080329547,0.03091185622,0.0264720575,0.2689290365,0.0006666666667,0.2960677606,1.333445789,0,0,0,0.3761294559,0,0.3761294559,1,0
65.8583927154541,11494620609.31086,45.47675921,96.39583508,100,347.9746255,0,-0.04084819264,0.03106421993,0.02877216419,0.2689290365,0.0006666666667,0.2983678673,1.44602118,0,0,0,0.6560998221,0,0.6560998221,1,0
70.88808822631836,11494620614.34055,45.28730921,96.54003313,100,348.4337099,0,-0.04087218709,0.0311374967,0.03061083873,0.2689290365,0.0006666666667,0.3002065419,1.518006799,0,0,0,0.8941846581,0,0.8941846581,1,0
75.89862442016602,11494620619.35109,45.08215946,96.69674239,100,348.8881029,0,-0.04092506733,0.03130653488,0.0327589488,0.2689290365,0.0006666666667,0.3023546519,1.627244772,0,0,0,1.152340119,0,1.152340119,1,0
80.90896034240723,11494620624.36142,44.87082881,96.85880618,100,326.0355015,0,-0.04097766632,0.03146489218,0.03486197313,0.3090935262,0.0006666666667,0.344622166,1.497836275,81.70531273,1.515687943,98.1787194,1.418658241,0,1.418658241,1,1
85.92170524597168,11494620629.37417,44.5463371,97.10204293,99.94580438,304.8475265,0.26,-0.04097766632,0.03146489218,0.03705792983,0.396130866,0.0006666666667,0.4338554625,1.273469013,81.70531273,6.846641541,92.26822085,1.601603688,0.2226266138,1.824230302,0.8779613443,1
90.96435356140137,11494620634.41682,41.69572326,98.8850245,98.81122701,299.3972113,0.78,-0.04097766632,0.03146489218,0.03915474653,0.432216797,0.001333333333,0.4727048768,1.219927347,81.70531273,11.95279312,87.23784448,1.601603688,3.585961075,5.187564763,0.3087390252,1
95.9783763885498,11494620639.43084,37.87128471,100.9852498,97.31722672,297.4972534,0.91,-0.04097766632,0.03146489218,0.04125235319,0.5099466342,0.001333333333,0.5525323207,1.10946633,81.70531273,16.95335197,82.81615505,1.601603688,7.949315657,9.550919345,0.1676910495,1
101.0101451873779,11494620644.46261,33.77373282,103.1446654,95.72387754,297.026772,0.94,-0.04097766632,0.03146489218,0.0433773605,0.6124623843,0.001333333333,0.6571730781,0.9696179868,81.70531273,21.86192894,78.89107734,1.601603688,12.58106533,14.18266902,0.1129268183,1
106.1215209960938,11494620649.57398,29.64014375,105.2473738,94.12856164,295.9761964,0.94,-0.04097766632,0.03146489218,0.04551284234,0.7149607198,0.001333333333,0.7618068954,0.8842324846,81.70531273,26.91946411,75.2179338,1.601603688,17.21878436,18.82038805,0.08509939775,1
111.1392574310303,11494620654.59172,25.45387733,107.3304994,92.51752226,295.6747479,0.96,-0.04097766632,0.03146489218,0.04756415526,0.8217850951,0.001333333333,0.8706825837,0.8015234983,81.70531273,31.98036957,71.86948354,1.601603688,21.8947104,23.49631409,0.06816403977,1
116.1850566864014,11494620659.63752,21.0018137,109.5186231,90.80682878,295.4386076,0.98,-0.04100271937,0.0315390598,0.04965729475,0.9357110117,0.001333333333,0.9867016398,0.7442504601,81.70531273,37.06783295,68.79106574,1.601603688,26.85543516,28.45703885,0.05628145981,1
