mission_time_S,MOOStime_S,metric_total_dist_M,metric_mean_dist_M,deploy
start_MOOStime_S
11494620558.18463
5.941057205200195,11494620564.12569,0,0,0
11.19536018371582,11494620569.37999,0,0,0
16.20446395874023,11494620574.3891,0,0,0
21.24721717834473,11494620579.43185,0,0,0
26.25707244873047,11494620584.4417,0,0,0
31.26430511474609,11494620589.44894,0,0,0
36.2823371887207,11494620594.46697,597.7944639,149.448616,0
41.29274559020996,11494620599.47738,8409.619338,420.4809669,0
46.31463241577148,11494620604.49926,8409.645083,420.4822541,0
51.34819984436035,11494620609.53282,8409.652817,420.4826409,0
56.4317684173584,11494620614.6164,8409.648525,420.4824262,0
61.45792770385742,11494620619.64256,8409.609636,420.4804818,0
66.47601699829102,11494620624.66065,8409.525483,420.4762741,1
71.4962158203125,11494620629.68085,8409.508925,420.4754462,1
76.51324844360352,11494620634.69788,8408.948021,420.447401,1
81.52217674255371,11494620639.70681,8400.015005,420.0007503,1
86.55387306213379,11494620644.7385,8388.356904,419.4178452,1
91.59715270996094,11494620649.78178,8381.990942,419.0995471,1
96.7465934753418,11494620654.93122,8373.155851,418.6577926,1
101.7697048187256,11494620659.95434,8366.344862,418.3172431,1
107.0928401947021,11494620665.27747,8361.807863,418.0903932,1
112.1235771179199,11494620670.30821,8350.484233,417.5242116,1
117.262752532959,11494620675.44738,8343.850455,417.1925228,1
122.409481048584,11494620680.59411,8286.839668,414.3419834,1
127.4512557983398,11494620685.63588,8273.189301,413.659465,1
132.481424331665,11494620690.66606,8223.802072,411.1901036,1
137.5034255981445,11494620695.68806,8193.31248,409.665624,1
142.5222015380859,11494620700.70683,8151.589249,407.5794625,1
147.5314083099365,11494620705.71604,8109.422984,405.4711492,1
152.5524559020996,11494620710.73709,8058.345459,402.917273,1
157.5821762084961,11494620715.76681,8003.642853,400.1821427,1
162.5944881439209,11494620720.77912,7944.607659,397.2303829,1
167.6172637939453,11494620725.8019,7878.767894,393.9383947,1
172.7050495147705,11494620730.88968,7824.20224,391.210112,1
177.7162494659424,11494620735.90088,7782.9192,389.14596,1
182.7395763397217,11494620740.92421,7702.637566,385.1318783,1
187.7474727630615,11494620745.9321,7637.555551,381.8777775,1
192.7557277679443,11494620750.94036,7574.617686,378.7308843,1
197.7635917663574,11494620755.94822,7517.62104,375.881052,1
202.8256168365479,11494620761.01025,7433.449396,371.6724698,1
207.8877201080322,11494620766.07235,7365.713231,368.2856616,1
213.1745529174805,11494620771.35918,7299.611088,364.9805544,1
218.2965202331543,11494620776.48115,7236.61748,361.830874,1
223.3040161132812,11494620781.48865,7191.339671,359.5669836,1
228.3155040740967,11494620786.50014,7092.127989,354.6063995,1
