mission_time_S,MOOStime_S,x_M,y_M,depth_M,heading_DEG,speed_M/S,drift_x_M/S,drift_y_M/S,consum_nominal_WH,consum_propulsion_WH,consum_communication_WH,consum_total_WH,duration_estimation_DAYS,time_drifting_S,time_thrusting_S,time_drifting_ratio_%,distance_drifting_M,distance_thrusting_M,distance_total_M,distance_drifting_ratio_%,deploy
start_MOOStime_S
8620979703.294739
5.559408187866211,8620979708.854147,-52,98,100,307.1185679,0,0,0,0.003342718283,0.1872040812,0,0.1905467995,0.2729884618,0,0,0,0,0,0,-nan,0
10.5717887878418,8620979713.866528,-52,98,100,340.2546692,0,0,0,0.005223266284,0.2741182963,0,0.2793415626,0.272783051,0,0,0,0,0,0,-nan,0
15.58289909362793,8620979718.877638,-52,98,100,340.6833857,0,0,0,0.007258281708,0.2741182963,0,0.281376578,0.3998106096,0,0,0,0,0,0,-nan,0
20.60635757446289,8620979723.901096,-52,98,100,341.2219421,0,0,0,0.009397918383,0.2741182963,0,0.2835162147,0.4826353118,0,0,0,0,0,0,-nan,0
25.63518524169922,8620979728.929924,-52,98,100,342.171363,0,0,0,0.01151350578,0.2741182963,0,0.2856318021,0.6062461519,0,0,0,0,0,0,-nan,0
30.64711761474609,8620979733.941856,-52,98,100,342.9263577,0,0,0,0.01366544247,0.2741182963,0.0006666666667,0.2884504054,0.6846937539,0,0,0,0,0,0,-nan,0
35.65527534484863,8620979738.950014,-52,98,100,343.6146484,0,0,0,0.01575530211,0.2741182963,0.0006666666667,0.2905402651,0.8047296702,0,0,0,0,0,0,-nan,0
40.66474723815918,8620979743.959486,-52,98,100,344.2579642,0,0,0,0.01784567992,0.2741182963,0.0006666666667,0.2926306429,0.8819104147,0,0,0,0,0,0,-nan,0
45.67505264282227,8620979748.969791,-52,98,100,344.5602403,0,0,0,0.01993424575,0.2741182963,0.0006666666667,0.2947192087,0.9989023971,0,0,0,0,0,0,-nan,0
50.68417739868164,8620979753.978916,-52,98,100,344.7200025,0,0,0,0.02191839536,0.2741182963,0.0006666666667,0.2967033583,1.073824105,0,0,0,0,0,0,-nan,0
55.69465065002441,8620979758.989389,-52.09142304,98.09752827,100,344.9816874,0,-0.03874976677,0.04134712435,0.02411271334,0.2741182963,0.0006666666667,0.2988976763,1.187321775,0,0,0,0.1336784824,0,0.1336784824,1,0
60.70385360717773,8620979763.998585,-52.28517125,98.3044163,100,345.4053216,0,-0.03887783619,0.04156308938,0.02620168289,0.2741182963,0.001333333333,0.3016533125,1.256670828,0,0,0,0.4171234178,0,0.4171234178,1,0
65.71444129943848,8620979769.00918,-52.48108764,98.51409883,100,345.8157084,0,-0.03896331625,0.04173566383,0.02829698086,0.2741182963,0.001333333333,0.3037486105,1.367709674,0,0,0,0.7040903287,0,0.7040903287,1,0
70.72434616088867,8620979774.019085,-52.67647412,98.72359967,100,346.2689334,0,-0.03906995296,0.0419360229,0.03038609505,0.2741182963,0.001333333333,0.3058377247,1.438022931,0,0,0,0.990562818,0,0.990562818,1,0
75.7486686706543,8620979779.043407,-52.87406817,98.93609186,100,346.7094176,0,-0.03922721854,0.04225727604,0.03247699022,0.2741182963,0.001333333333,0.3079286199,1.54626799,0,0,0,1.280728902,0,1.280728902,1,1
80.77417755126953,8620979784.068916,-53.06873697,99.14579761,100,347.3192737,0,-0.03922721854,0.04225727604,0.03458988349,0.2741182963,0.001333333333,0.3100415131,1.61397035,0,0,0,1.566862509,0,1.566862509,1,1
85.78972625732422,8620979789.084459,-53.42205472,100.1434672,99.71329811,349.788519,0.74,-0.03922721854,0.04225727604,0.03668385426,0.2781414064,0.001333333333,0.316158594,1.698216282,85.42562866,4.577636719e-05,99.99994641,1.750543764,0.8936713605,2.644215125,0.6620277404,1
90.8257007598877,8620979794.12044,-54.28725863,104.7047303,98.12784938,352.1604639,0.99,-0.03922721854,0.04225727604,0.03881288211,0.3753955351,0.002,0.4162084172,1.348221938,85.42562866,4.577636719e-05,99.99994641,1.750543764,5.536865099,7.287408863,0.2402148414,1
95.83513259887695,8620979799.129871,-54.9796676,108.694321,96.75015067,353.1016606,0.35,-0.03927260864,0.04234836084,0.04085074107,0.4583207429,0.002,0.5011714839,1.192021683,85.42562866,4.577636719e-05,99.99994641,1.750543764,9.586315552,11.33685932,0.1544117039,1
100.8448257446289,8620979804.139565,-55.43117927,111.0848161,95.94890335,353.1461188,0.91,-0.03927260864,0.04234836084,0.04304025571,0.4793660108,0.002,0.5244062665,1.185426032,85.42562866,14.74691772,85.27848372,1.750543764,12.02049224,13.771036,0.1271177974,1
105.8555145263672,8620979809.150253,-56.18064334,115.7128077,94.32918892,352.6837286,0.96,-0.03927260864,0.04234836084,0.04513692538,0.5852935934,0.002,0.6324305188,1.040113982,85.42562866,14.74691772,85.27848372,1.750543764,16.70878228,18.45932605,0.0948324852,1
110.8725662231445,8620979814.167305,-56.83491167,119.474188,93.03213818,352.8545636,0.32,-0.03927260864,0.04234836084,0.04722589334,0.6605464271,0.002,0.7097723204,0.9608836711,85.42562866,14.74691772,85.27848372,1.750543764,20.52706613,22.27760989,0.07857861649,1
115.8825645446777,8620979819.177303,-57.14687019,120.6278424,92.68888193,353.3601614,0.13,-0.03927260864,0.04234836084,0.0493317763,0.6619274557,0.002,0.713259232,1.006941349,85.42562866,14.74691772,85.27848372,1.750543764,21.72258887,23.47313264,0.0745764867,1
